tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
386,2018-08-13 16:04:47.603000,2018-08-13 16:11:14.206000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,2585,Subscriber,1962,2
528,2018-09-05 15:37:58.174000,2018-09-05 15:46:46.905000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,3812,Subscriber,1956,2
836,2018-09-05 16:19:33.281000,2018-09-05 16:33:29.473000,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3812,Subscriber,1956,2
323,2018-09-10 05:53:31.604000,2018-09-10 05:58:55.157000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2682,Subscriber,1962,2
605,2018-09-10 07:02:51.698000,2018-09-10 07:12:56.819000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3855,Subscriber,1962,2
270,2018-09-21 13:38:23.475000,2018-09-21 13:42:54.114000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,3402,Subscriber,1956,2
282,2018-09-21 13:26:42.652000,2018-09-21 13:31:25.644000,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3402,Subscriber,1956,2
308,2018-09-24 06:02:48.471000,2018-09-24 06:07:56.629000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,2109,Subscriber,1962,2
330,2018-09-24 07:08:22.526000,2018-09-24 07:13:53.027000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,2867,Subscriber,1962,2
299,2018-09-28 06:15:08.736000,2018-09-28 06:20:08.610000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,727,Subscriber,1962,2
309,2018-09-28 07:37:42.332000,2018-09-28 07:42:52.285000,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,727,Subscriber,1962,2
561,2018-09-29 11:59:08.574000,2018-09-29 12:08:29.759000,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,2069,Customer,1962,2
993,2018-09-29 12:53:14.882000,2018-09-29 13:09:48.207000,35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3987,Customer,1962,2
891,2018-07-02 17:12:46.858000,2018-07-02 17:27:38.180000,7,Fan Pier,42.3533905070523,-71.04457139968872,98,Warren St at Chelsea St,42.371848,-71.060292,1171,Subscriber,1963,2
1015,2018-07-02 08:07:16.436000,2018-07-02 08:24:11.911000,98,Warren St at Chelsea St,42.371848,-71.060292,7,Fan Pier,42.3533905070523,-71.04457139968872,2523,Subscriber,1963,2
876,2018-07-10 16:56:42.742000,2018-07-10 17:11:19.104000,7,Fan Pier,42.3533905070523,-71.04457139968872,98,Warren St at Chelsea St,42.371848,-71.060292,1188,Subscriber,1963,2
1117,2018-07-10 07:55:19.400000,2018-07-10 08:13:56.991000,98,Warren St at Chelsea St,42.371848,-71.060292,7,Fan Pier,42.3533905070523,-71.04457139968872,556,Subscriber,1963,2
905,2018-07-11 17:19:09.826000,2018-07-11 17:34:14.841000,7,Fan Pier,42.3533905070523,-71.04457139968872,98,Warren St at Chelsea St,42.371848,-71.060292,409,Subscriber,1963,2
1107,2018-07-11 07:59:09.846000,2018-07-11 08:17:37.738000,98,Warren St at Chelsea St,42.371848,-71.060292,7,Fan Pier,42.3533905070523,-71.04457139968872,409,Subscriber,1963,2
2351,2018-08-22 12:38:33.401000,2018-08-22 13:17:44.720000,7,Fan Pier,42.3533905070523,-71.04457139968872,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,2106,Subscriber,1963,2
1076,2018-08-22 13:22:54.434000,2018-08-22 13:40:50.710000,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,7,Fan Pier,42.3533905070523,-71.04457139968872,2106,Subscriber,1963,2
1073,2018-08-23 16:43:47.940000,2018-08-23 17:01:41.339000,7,Fan Pier,42.3533905070523,-71.04457139968872,98,Warren St at Chelsea St,42.371848,-71.060292,3754,Subscriber,1963,2
1214,2018-08-23 07:53:14.389000,2018-08-23 08:13:28.765000,98,Warren St at Chelsea St,42.371848,-71.060292,7,Fan Pier,42.3533905070523,-71.04457139968872,3925,Subscriber,1963,2
442,2018-08-28 16:58:16.407000,2018-08-28 17:05:38.849000,7,Fan Pier,42.3533905070523,-71.04457139968872,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,3548,Subscriber,1961,2
608,2018-08-28 07:14:32.467000,2018-08-28 07:24:41.223000,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,7,Fan Pier,42.3533905070523,-71.04457139968872,3548,Subscriber,1961,2
917,2018-09-18 17:08:28.881000,2018-09-18 17:23:46.723000,7,Fan Pier,42.3533905070523,-71.04457139968872,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,3427,Subscriber,1955,2
1129,2018-09-18 08:06:44.297000,2018-09-18 08:25:33.659000,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,7,Fan Pier,42.3533905070523,-71.04457139968872,3432,Subscriber,1955,2
